AFS,Gender,MS,Origin,POB,LocLang,IntLang,BornWar,Religion,SecondarySchool,NationalExamGrade,Degree,Specialisation,GradeIT,UniversityType,InstitutionNature,InstitutionLocation,SchoolWar,Fees,Funding,UniversityReliable,UnivPromoteEmploy,Internship,ExperienceYears,SpecialisationCompetence,ITCompetence,GraduateComSkill,PhysicalDisability,PsychoDisability,SleepingTime,Family,Father,Mother,PoliticianFam,AdminstrativeFam,CompanyFam,Relatives,MaritalRequirement,HomePandemic,HomeEpidemic,SchoolPandemic,SchoolEpidemic,Employed
between 21 and 23 years,Male,Single,Mukongo,Capital City(Kinshasa),Two,One,No,Protestant,Commerce,Satisfaction (50%-69%),Master,Software engineering,Distinction (70%-79%),Private,College,Capital City(Kinshasa),No,Between $500 and $1000,Parents' finances,No,No,Yes,5.0,Mastery,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,Yes,Nothing,Yes,No,Yes,Yes,Yes
between 23 and 25 years,Male,Single,Muswahili,Capital City(Kinshasa),Two,Two,No,Evangelical,Industrial Technique,Satisfaction (50%-69%),Master,Software engineering,Satisfaction (50%-69%),Private,College,Capital City(Kinshasa),No,Between $500 and $1000,Parents' finances,No,Yes,No,5.0,Mastery,Mastery,High,No,No,After midnight,Medium,No,No,No,No,No,No,Nothing,Yes,No,Yes,No,Yes
between 27 and 29 years,Female,Single,Muswahili,Town,Two,Two,Yes,Catholic,General Pedagogy,Satisfaction (50%-69%),Master,Networking,Distinction (70%-79%),Private,University,Town,Yes,Between $500 and $1000,Parents' finances,Yes,No,No,5.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,No,No,Yes,Yes,Yes,No,Nothing,Yes,Yes,Yes,Yes,Yes
between 27 and 29 years,Male,Single,Muswahili,Town,More,Three,Yes,Catholic,Commerce,Satisfaction (50%-69%),Bachelor,Networking,Satisfaction (50%-69%),Private,College,Town,Yes,Less than $500,Own funds,Yes,Yes,Yes,3.0,Mastery,Mastery,Medium,No,No,After midnight,Medium,No,No,No,No,Yes,No,Nothing,No,No,No,Yes,No
between 23 and 25 years,Male,Single,Muswahili,Rural municipality,More,Two,No,Catholic,Commerce,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Catholic,University,Town,Yes,Between $500 and $1000,Parents' finances,No,Yes,Yes,5.0,Average,Average,Medium,No,No,Before 10 pm,Poor,No,No,No,No,No,No,Nothing,Yes,Yes,Yes,Yes,No
between 25 and 27 years,Male,Single,Muswahili,Town,Two,Two,Yes,Protestant,General Pedagogy,Satisfaction (50%-69%),Master,Information Systems Management,Satisfaction (50%-69%),Private,College,Town,Yes,Between $500 and $1000,Family Finances,Yes,Yes,No,3.0,Mastery,Average,Medium,No,No,Between 10 pm and midnight,Medium,No,No,No,No,Yes,No,Single,Yes,Yes,No,No,No
between 23 and 25 years,Female,Single,Muswahili,Village,Four,Two,No,Protestant,General Pedagogy,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,No,Less than $500,Parents' finances,Yes,Yes,No,3.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,No,Yes,Yes,Nothing,No,Yes,No,Yes,No
between 25 and 27 years,Male,Single,Mungala,Rural municipality,Three,Two,Yes,Evangelical,General Pedagogy,Satisfaction (50%-69%),Master,Information Systems Management,Distinction (70%-79%),Private,University,Capital City(Kinshasa),No,Between $500 and $1000,Family Finances,No,Yes,Yes,3.0,Average,Average,Medium,No,No,Before 10 pm,Medium,Yes,Yes,Yes,Yes,Yes,No,Nothing,Yes,No,Yes,No,Yes
between 25 and 27 years,Male,Single,Mukongo,Capital City(Kinshasa),Two,Two,No,Evangelical,Math-Physics,Satisfaction (50%-69%),Master,Information Systems Management,Distinction (70%-79%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,No,No,No,1.0,Mastery,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,No,No,Nothing,No,No,Yes,Yes,Yes
beyond,Male,Single,Mukongo,Rural municipality,Three,Two,No,Catholic,Math-Physics,Satisfaction (50%-69%),Bachelor,Networking,Distinction (70%-79%),Private,College,Capital City(Kinshasa),No,Less than $500,Own funds,Yes,Yes,Yes,11.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Poor,No,No,No,Yes,Yes,No,Nothing,No,No,Yes,No,No
